time,node_id,vehicles_in_range
1.0,rsu1,0
1.0,rsu2,0
1.0,rsu3,0
1.0,rsu4,0
1.0,rsu5,0
1.0,edge1,1
1.0,edge2,0
2.0,rsu1,0
2.0,rsu2,0
2.0,rsu3,0
2.0,rsu4,0
2.0,rsu5,0
2.0,edge1,1
2.0,edge2,0
3.0,rsu1,0
3.0,rsu2,0
3.0,rsu3,0
3.0,rsu4,0
3.0,rsu5,0
3.0,edge1,1
3.0,edge2,0
4.0,rsu1,0
4.0,rsu2,0
4.0,rsu3,0
4.0,rsu4,0
4.0,rsu5,0
4.0,edge1,1
4.0,edge2,0
5.0,rsu1,0
5.0,rsu2,0
5.0,rsu3,0
5.0,rsu4,0
5.0,rsu5,0
5.0,edge1,1
5.0,edge2,0
6.0,rsu1,0
6.0,rsu2,0
6.0,rsu3,0
6.0,rsu4,0
6.0,rsu5,0
6.0,edge1,1
6.0,edge2,0
7.0,rsu1,0
7.0,rsu2,0
7.0,rsu3,0
7.0,rsu4,0
7.0,rsu5,0
7.0,edge1,1
7.0,edge2,0
8.0,rsu1,0
8.0,rsu2,0
8.0,rsu3,0
8.0,rsu4,0
8.0,rsu5,0
8.0,edge1,1
8.0,edge2,0
9.0,rsu1,0
9.0,rsu2,0
9.0,rsu3,0
9.0,rsu4,0
9.0,rsu5,0
9.0,edge1,1
9.0,edge2,0
10.0,rsu1,0
10.0,rsu2,0
10.0,rsu3,0
10.0,rsu4,0
10.0,rsu5,0
10.0,edge1,1
10.0,edge2,0
11.0,rsu1,1
11.0,rsu2,0
11.0,rsu3,0
11.0,rsu4,0
11.0,rsu5,0
11.0,edge1,2
11.0,edge2,0
12.0,rsu1,1
12.0,rsu2,0
12.0,rsu3,0
12.0,rsu4,0
12.0,rsu5,0
12.0,edge1,2
12.0,edge2,0
13.0,rsu1,1
13.0,rsu2,0
13.0,rsu3,0
13.0,rsu4,0
13.0,rsu5,0
13.0,edge1,2
13.0,edge2,0
14.0,rsu1,1
14.0,rsu2,0
14.0,rsu3,0
14.0,rsu4,0
14.0,rsu5,0
14.0,edge1,2
14.0,edge2,0
15.0,rsu1,1
15.0,rsu2,0
15.0,rsu3,0
15.0,rsu4,0
15.0,rsu5,0
15.0,edge1,2
15.0,edge2,0
16.0,rsu1,1
16.0,rsu2,0
16.0,rsu3,0
16.0,rsu4,0
16.0,rsu5,0
16.0,edge1,2
16.0,edge2,0
17.0,rsu1,1
17.0,rsu2,0
17.0,rsu3,0
17.0,rsu4,0
17.0,rsu5,0
17.0,edge1,2
17.0,edge2,0
18.0,rsu1,1
18.0,rsu2,0
18.0,rsu3,0
18.0,rsu4,0
18.0,rsu5,0
18.0,edge1,2
18.0,edge2,0
19.0,rsu1,1
19.0,rsu2,0
19.0,rsu3,0
19.0,rsu4,0
19.0,rsu5,0
19.0,edge1,2
19.0,edge2,0
20.0,rsu1,1
20.0,rsu2,0
20.0,rsu3,0
20.0,rsu4,0
20.0,rsu5,0
20.0,edge1,2
20.0,edge2,0
21.0,rsu1,1
21.0,rsu2,0
21.0,rsu3,0
21.0,rsu4,0
21.0,rsu5,0
21.0,edge1,3
21.0,edge2,0
22.0,rsu1,1
22.0,rsu2,0
22.0,rsu3,0
22.0,rsu4,0
22.0,rsu5,0
22.0,edge1,3
22.0,edge2,0
23.0,rsu1,1
23.0,rsu2,0
23.0,rsu3,0
23.0,rsu4,0
23.0,rsu5,0
23.0,edge1,3
23.0,edge2,0
24.0,rsu1,1
24.0,rsu2,0
24.0,rsu3,0
24.0,rsu4,0
24.0,rsu5,0
24.0,edge1,3
24.0,edge2,0
25.0,rsu1,0
25.0,rsu2,0
25.0,rsu3,0
25.0,rsu4,0
25.0,rsu5,0
25.0,edge1,3
25.0,edge2,0
26.0,rsu1,0
26.0,rsu2,0
26.0,rsu3,0
26.0,rsu4,0
26.0,rsu5,0
26.0,edge1,3
26.0,edge2,0
27.0,rsu1,0
27.0,rsu2,0
27.0,rsu3,0
27.0,rsu4,0
27.0,rsu5,0
27.0,edge1,3
27.0,edge2,0
28.0,rsu1,0
28.0,rsu2,0
28.0,rsu3,0
28.0,rsu4,0
28.0,rsu5,0
28.0,edge1,3
28.0,edge2,0
29.0,rsu1,0
29.0,rsu2,0
29.0,rsu3,0
29.0,rsu4,0
29.0,rsu5,0
29.0,edge1,3
29.0,edge2,0
30.0,rsu1,0
30.0,rsu2,0
30.0,rsu3,0
30.0,rsu4,0
30.0,rsu5,0
30.0,edge1,3
30.0,edge2,0
31.0,rsu1,0
31.0,rsu2,0
31.0,rsu3,0
31.0,rsu4,0
31.0,rsu5,1
31.0,edge1,4
31.0,edge2,0
32.0,rsu1,0
32.0,rsu2,0
32.0,rsu3,0
32.0,rsu4,0
32.0,rsu5,1
32.0,edge1,4
32.0,edge2,0
33.0,rsu1,0
33.0,rsu2,0
33.0,rsu3,0
33.0,rsu4,0
33.0,rsu5,1
33.0,edge1,4
33.0,edge2,0
34.0,rsu1,0
34.0,rsu2,0
34.0,rsu3,0
34.0,rsu4,0
34.0,rsu5,1
34.0,edge1,4
34.0,edge2,0
35.0,rsu1,0
35.0,rsu2,0
35.0,rsu3,0
35.0,rsu4,0
35.0,rsu5,1
35.0,edge1,4
35.0,edge2,0
36.0,rsu1,0
36.0,rsu2,0
36.0,rsu3,0
36.0,rsu4,0
36.0,rsu5,1
36.0,edge1,4
36.0,edge2,0
37.0,rsu1,0
37.0,rsu2,0
37.0,rsu3,0
37.0,rsu4,0
37.0,rsu5,1
37.0,edge1,4
37.0,edge2,0
38.0,rsu1,0
38.0,rsu2,0
38.0,rsu3,0
38.0,rsu4,0
38.0,rsu5,1
38.0,edge1,4
38.0,edge2,0
39.0,rsu1,0
39.0,rsu2,0
39.0,rsu3,0
39.0,rsu4,0
39.0,rsu5,1
39.0,edge1,4
39.0,edge2,0
40.0,rsu1,0
40.0,rsu2,0
40.0,rsu3,0
40.0,rsu4,0
40.0,rsu5,1
40.0,edge1,4
40.0,edge2,0
41.0,rsu1,0
41.0,rsu2,0
41.0,rsu3,1
41.0,rsu4,0
41.0,rsu5,1
41.0,edge1,5
41.0,edge2,0
42.0,rsu1,0
42.0,rsu2,0
42.0,rsu3,1
42.0,rsu4,0
42.0,rsu5,1
42.0,edge1,5
42.0,edge2,0
43.0,rsu1,0
