time,event,task_id,veh_id,info
8.0,generated,ind_7bd0966c,0,"{""kind"": ""independent"", ""size"": 244728, ""cpu"": 89908999.10195433, ""deadline"": 64.6525465679164}"
33.0,generated,ind_640a2497,3,"{""kind"": ""independent"", ""size"": 196522, ""cpu"": 80197459.0581567, ""deadline"": 39.583518719045436}"
38.0,generated,dep_0d45ac48,2,"{""kind"": ""dependent"", ""num_subtasks"": 9, ""deadline"": 1333.750405511874}"
43.0,generated,ind_cbf4e085,2,"{""kind"": ""independent"", ""size"": 318147, ""cpu"": 97337997.180194, ""deadline"": 96.57794773555494}"
53.0,generated,ind_cf906e66,4,"{""kind"": ""independent"", ""size"": 113214, ""cpu"": 89519732.7898557, ""deadline"": 54.85581948735514}"
59.0,generated,dep_4e637c8f,4,"{""kind"": ""dependent"", ""num_subtasks"": 8, ""deadline"": 1166.8518045057922}"
60.0,generated,ind_d483e7b5,2,"{""kind"": ""independent"", ""size"": 273848, ""cpu"": 2668633.4036984555, ""deadline"": 189.96458535169484}"
60.0,generated,ind_793cc0c2,4,"{""kind"": ""independent"", ""size"": 384544, ""cpu"": 50783919.755725004, ""deadline"": 240.43969300720332}"
82.0,generated,dep_9f78eff5,1,"{""kind"": ""dependent"", ""num_subtasks"": 12, ""deadline"": 1912.2752919425498}"
85.0,generated,ind_2ff76f82,6,"{""kind"": ""independent"", ""size"": 438619, ""cpu"": 53120713.08170007, ""deadline"": 119.15081406508}"
88.0,generated,ind_f747aa05,8,"{""kind"": ""independent"", ""size"": 328343, ""cpu"": 13201068.344144907, ""deadline"": 92.9365731825606}"
90.0,generated,ind_114294b1,4,"{""kind"": ""independent"", ""size"": 164177, ""cpu"": 51054690.913943924, ""deadline"": 95.24624256969652}"
99.0,generated,ind_7794d206,8,"{""kind"": ""independent"", ""size"": 201677, ""cpu"": 98341605.3490476, ""deadline"": 210.74844102720778}"
104.0,generated,ind_05604963,5,"{""kind"": ""independent"", ""size"": 336427, ""cpu"": 46519232.55565966, ""deadline"": 173.86560352596368}"
106.0,generated,ind_fec8580d,4,"{""kind"": ""independent"", ""size"": 159647, ""cpu"": 10761666.099722594, ""deadline"": 115.07190029474324}"
106.0,generated,ind_66d58ddc,5,"{""kind"": ""independent"", ""size"": 497143, ""cpu"": 35836755.06385231, ""deadline"": 114.68166800674419}"
111.0,generated,ind_3804f85b,1,"{""kind"": ""independent"", ""size"": 218784, ""cpu"": 86686494.4364549, ""deadline"": 197.51890006098643}"
